Network ID	Territory	Fraction
TAZ_6668	WEC_SDGE	1
TAZ_6609	WEC_SDGE	1
TAZ_6631	WEC_SDGE	1
TAZ_6133	WEC_SDGE	1
TAZ_6658	WEC_SDGE	1
TAZ_6434	WEC_SDGE	1
TAZ_6561	WEC_SDGE	1
TAZ_6101	WEC_SDGE	1
TAZ_6424	WEC_SDGE	1
TAZ_6136	WEC_SDGE	1
TAZ_5612	WECC_IID	1
TAZ_6407	WEC_SDGE	1
TAZ_5611	WECC_IID	1
TAZ_6508	WEC_SDGE	1
TAZ_5699	WECC_IID	1
TAZ_5613	WECC_IID	1
TAZ_5608	WECC_IID	1
TAZ_6554	WEC_SDGE	1
TAZ_6134	WEC_SDGE	1
TAZ_5609	WECC_IID	1
TAZ_6545	WEC_SDGE	1
TAZ_5607	WECC_IID	1
TAZ_6836	WECC_IID	1
TAZ_5606	WECC_IID	1
TAZ_5604	WECC_IID	1
TAZ_5616	WECC_IID	1
TAZ_6105	WEC_SDGE	1
TAZ_5602	WECC_IID	1
TAZ_5603	WECC_IID	1
WEC_SDGE	WEC_SDGE	1
TAZ_5601	WECC_IID	1
TAZ_6106	WEC_SDGE	1
TAZ_6114	WEC_SDGE	1
WECC_IID	WECC_IID	1
TAZ_6273	WEC_SDGE	1
TAZ_6100	WEC_SDGE	1
TAZ_6207	WEC_SDGE	1
TAZ_5614	WECC_IID	1
TAZ_6231	WEC_SDGE	1
TAZ_5615	WECC_IID	1
TAZ_6204	WEC_SDGE	1
TAZ_6102	WEC_SDGE	1
TAZ_6108	WEC_SDGE	1
TAZ_6245	WEC_SDGE	1
TAZ_5600	WECC_IID	1
TAZ_6120	WEC_SDGE	1
TAZ_6251	WEC_SDGE	1
TAZ_6003	WECC_SCE	1
TAZ_6005	WECC_SCE	1
TAZ_5698	WECC_SCE	1
TAZ_6011	WECC_SCE	1
TAZ_5637	WECC_SCE	1
TAZ_5550	WECC_SCE	1
TAZ_6099	WECC_SCE	1
TAZ_5541	WECC_SCE	1
TAZ_5664	WECC_SCE	1
TAZ_6037	WECC_SCE	1
TAZ_5546	WECC_SCE	1
TAZ_6053	WECC_SCE	1
TAZ_5669	WECC_SCE	1
TAZ_5973	WECC_SCE	1
TAZ_5636	WECC_SCE	1
TAZ_5853	WECC_SCE	1
Cavern_18	WECC_AZ	1
TAZ_5855	WECC_SCE	1
TAZ_5857	WECC_SCE	1
TAZ_4619	WEC_LADW	1
TAZ_4766	WEC_LADW	1
TAZ_5670	WECC_SCE	1
TAZ_4750	WEC_LADW	1
TAZ_5680	WECC_SCE	1
TAZ_4737	WEC_LADW	1
TAZ_4731	WEC_LADW	1
TAZ_5693	WECC_SCE	1
TAZ_4730	WEC_LADW	1
TAZ_4700	WEC_LADW	1
TAZ_5460	WECC_SCE	1
TAZ_4569	WEC_LADW	1
TAZ_5788	WECC_SCE	1
TAZ_5681	WECC_SCE	1
TAZ_5690	WECC_SCE	1
TAZ_5625	WECC_SCE	1
TAZ_5439	WECC_SCE	1
TAZ_5638	WECC_SCE	1
TAZ_5668	WECC_SCE	1
TAZ_5634	WECC_SCE	1
TAZ_4422	WEC_LADW	1
TAZ_5481	WECC_SCE	1
TAZ_5626	WECC_SCE	1
TAZ_5492	WECC_SCE	1
TAZ_5624	WECC_SCE	1
TAZ_5011	WEC_LADW	1
TAZ_5694	WECC_SCE	1
TAZ_4403	WEC_LADW	1
TAZ_4413	WEC_LADW	1
TAZ_4408	WEC_LADW	1
TAZ_3802	WEC_LADW	1
TAZ_4404	WEC_LADW	1
TAZ_4361	WEC_LADW	1
TAZ_4355	WEC_LADW	1
TAZ_4352	WEC_LADW	1
TAZ_4358	WEC_LADW	1
TAZ_5145	WECC_SCE	1
TAZ_3857	WEC_LADW	1
TAZ_5182	WECC_SCE	1
TAZ_5146	WECC_SCE	1
TAZ_3919	WEC_LADW	1
TAZ_5147	WECC_SCE	1
TAZ_3601	WEC_LADW	1
TAZ_3703	WEC_LADW	1
TAZ_3519	WECC_SCE	1
TAZ_3414	WECC_SCE	1
TAZ_3729	WEC_LADW	1
TAZ_3602	WEC_LADW	1
TAZ_5194	WECC_SCE	1
TAZ_5198	WECC_SCE	1
WEC_LADW	WEC_LADW	1
TAZ_5144	WECC_SCE	1
Cavern_5	WECC_NM	1
TAZ_5114	WECC_SCE	1
TAZ_3626	WEC_LADW	1
TAZ_5106	WECC_SCE	1
TAZ_3604	WEC_LADW	1
TAZ_5115	WECC_SCE	1
TAZ_3614	WEC_LADW	1
WECC_AZ	WECC_AZ	1
TAZ_3687	WEC_LADW	1
TAZ_5148	WECC_SCE	1
TAZ_3645	WEC_LADW	1
TAZ_3699	WEC_LADW	1
TAZ_3400	WECC_SCE	1
TAZ_5160	WECC_SCE	1
TAZ_5103	WECC_SCE	1
TAZ_3362	WECC_SCE	1
TAZ_3628	WEC_LADW	1
WECC_SCE	WECC_SCE	1
TAZ_3695	WEC_LADW	1
TAZ_3361	WECC_SCE	1
TAZ_3599	WEC_LADW	1
TAZ_5158	WECC_SCE	1
TAZ_5112	WECC_SCE	1
TAZ_2903	WECC_SCE	1
TAZ_5159	WECC_SCE	1
TAZ_5195	WECC_SCE	1
TAZ_2904	WECC_SCE	1
TAZ_3383	WECC_SCE	1
TAZ_2900	WECC_SCE	1
TAZ_5110	WECC_SCE	1
Cavern_16	WECC_AZ	1
TAZ_2795	WECC_SCE	1
TAZ_2912	WECC_SCE	1
TAZ_3322	WEC_CALN	1
TAZ_5111	WECC_SCE	1
TAZ_5138	WECC_SCE	1
