Year	Eligible Technologies	Percentage Requirement
2021	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2022	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2023	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2024	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2025	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2026	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2027	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2028	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2029	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2030	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2031	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2032	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2033	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2034	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2035	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2036	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2037	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2038	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2039	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2040	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2041	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2042	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2043	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2044	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2045	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2046	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2047	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2048	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2049	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
2050	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.33
