Network ID	Year	Fueling-Station Demand [kg]	Non-Fueling-Station Demand [kg]	Geometry [WKT]	Period
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2030	4040.08	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2031	11833.2	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2032	26040.1	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2033	50907.9	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2034	94754.9	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2035	159914	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2036	247302	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2037	350978	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2038	479394	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2039	636312	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2040	826232	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2041	1052360	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2042	1315500	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2043	1618580	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2044	1962770	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2045	2348200	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2046	2776040	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2047	3250090	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2048	3768800	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2049	4330250	0	POINT(-76.30331767 39.51115924)	Year
00199 | Aberdeen--Bel Air South--Bel Air North, MD	2050	4930590	0	POINT(-76.30331767 39.51115924)	Year
00280 | Abilene, TX	2039	8315.09	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2040	22219.7	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2041	45385.6	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2042	74344.8	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2043	115559	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2044	172831	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2045	227040	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2046	292414	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2047	369432	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2048	457718	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2049	556853	0	POINT(-99.74648713 32.42833222)	Year
00280 | Abilene, TX	2050	665887	0	POINT(-99.74648713 32.42833222)	Year
00577 | Adrian, MI	2048	7767.44	0	POINT(-84.01031815 41.94076134)	Year
00577 | Adrian, MI	2049	19172.3	0	POINT(-84.01031815 41.94076134)	Year
00577 | Adrian, MI	2050	35656.7	0	POINT(-84.01031815 41.94076134)	Year
00766 | Akron, OH	2037	37623.9	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2038	100899	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2039	207559	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2040	343492	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2041	540740	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2042	820623	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2043	1098780	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2044	1448340	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2045	1878210	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2046	2394010	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2047	3001320	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2048	3700920	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2049	4485210	0	POINT(-81.49284125 41.06626469)	Year
00766 | Akron, OH	2050	5347280	0	POINT(-81.49284125 41.06626469)	Year
00820 | Alamogordo, NM	2038	1676.97	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2039	4491.89	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2040	9218.63	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2041	15194.8	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2042	23767.9	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2043	35835.8	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2044	47590.8	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2045	62045.5	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2046	79476.4	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2047	99910.5	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2048	123435	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2049	149869	0	POINT(-105.949215 32.90246623)	Year
00820 | Alamogordo, NM	2050	178872	0	POINT(-105.949215 32.90246623)	Year
00955 | Albany, OR	2037	1289.77	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2038	3679.1	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2039	7822.67	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2040	14625	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2041	25628.3	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2042	40587.9	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2043	58184.8	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2044	76848.7	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2045	97602.4	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2046	120578	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2047	146135	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2048	174599	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2049	205957	0	POINT(-123.0906807 44.63237704)	Year
00955 | Albany, OR	2050	240731	0	POINT(-123.0906807 44.63237704)	Year
00970 | Albany--Schenectady, NY	2027	8643.04	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2028	25361.5	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2029	55568.3	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2030	108800	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2031	202732	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2032	343552	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2033	535820	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2034	772394	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2035	1075190	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2036	1460390	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2037	1948910	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2038	2561890	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2039	3313670	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2040	4223190	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2041	5301760	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2042	6555690	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2043	7988630	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2044	9609780	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2045	11405900	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2046	13366600	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2047	15471400	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2048	17698100	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2049	20006400	0	POINT(-73.79843198 42.74594498)	Year
00970 | Albany--Schenectady, NY	2050	22354400	0	POINT(-73.79843198 42.74594498)	Year
